id,title,imdbid,year,rating
9602,Passage de Venus,3155794,1874,0
9804,La Rosace Magique,14495706,1877,0
9603,Sallie Gardner at a Gallop,2221420,1878,0
9806,Le singe musicien,12592084,1878,0
9816,Athlete Swinging a Pick,7816420,1881,0
9831,Buffalo Running,5459794,1883,0
9832,L&#39;homme machine,8588366,1885,0
9614,Man Walking Around the Corner,2075247,1887,0
9836,Cockatoo Flying,8133192,1887,0
9837,Child Carrying Flowers to Woman,7411790,1887,0
9838,Jumping Over a Man&#39;s Back-Leapfrog,7541160,1887,0
9841,Man Riding Jumping Horse,7754902,1887,0
9902,Baboon Climbing a Pole,8361552,1887,0
8040,Roundhay Garden Scene,0392728,1888,0
9615,Accordion Player,1758563,1888,0
9616,Traffic Crossing Leeds Bridge,0343112,1888,0
9675,Pferd und Reiter Springen uber ein Hindernis,3274100,1888,0
9947,Brighton Street Scene,2116853,1888,0
9619,"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses",0466876,1889,0
9945,Hyde Park Corner,2116898,1889,0
9617,"Monkeyshines, No. 1",0361921,1890,0
9618,"Monkeyshines, No. 2",0416046,1890,0
9621,London&#39;s Trafalgar Square,1202028,1890,0
9678,"Monkeyshines, No. 3",0416047,1890,0
9946,Mosquinha,5285442,1890,0
9944,"Traffic in King&#39;s Road, Chelsea",2116968,1890,0
9626,Dickson Greeting,0241373,1891,0
9628,Men Boxing,0241715,1891,0
9629,Newark Athlete,0241763,1891,0
9792,"Duncan and Another, Blacksmith Shop",0241393,1891,0
9793,Duncan Smoking,0241392,1891,0
9794,Duncan or Devonald with Muslin Cloud,0241394,1891,0
9795,"Monkey and Another, Boxing",0241735,1891,0
9800,Je vous aime,3201916,1891,0
9802,La vague,3508566,1891,0
9943,Two Fencers,5447082,1891,0
5433,Pauvre Pierrot,0000003,1892,0
9631,Un bon bock,0000004,1892,0
9632,Le clown et ses chiens,0000002,1892,0
9951,Fencing,0241446,1892,0
9952,Le prince de Galles,0234520,1892,0
9948,Wrestling,0242148,1892,0
9986,Boxing,0241266,1892,0
9583,Blacksmith Scene,0000005,1893,0
9636,Annabelle Butterfly Dance,0229217,1894,0
9642,Edison Kinetoscope Records: Annie Oakley,8419312,1894,0
9646,Autour d&#39;une cabine,0000015,1894,0
9648,"Barbershop, The",0229235,1894,0
9649,Bucking Broncho,0309396,1894,0
9650,Buffalo Dance,0309402,1894,0
9652,Edison Kinetoscopic Record of a Sneeze,0000008,1894,0
9654,Dickson Experimental Sound Film,0177707,1894,0
9655,Chinese Opium Den,0000006,1894,0
9656,Corbett and Courtney Before the Kinetograph,0000007,1894,0
9662,Falling Cat,2049440,1894,0
9663,"Glenroy Bros., No. 2",0312728,1894,0
9664,Glenroy Brothers,0256782,1894,0
9668,Leonard-Cushing Fight,0203646,1894,0
9671,"Luis Martinetti, Contortionist",0277115,1894,0
9673,Sandow No. 2,2161519,1894,0
9674,Sandow No. 3,2161521,1894,0
9681,Reve au coin du feu,0413219,1894,0
9779,Miss Jerry,0000009,1894,0
5444,Tables Turned on the Gardener,0000014,1895,0
6200,"Execution of Mary, Queen of Scots, The",0132134,1895,0
9679,Akrobatisches Potpourri,0000011,1895,1
9683,Annabelle Serpentine Dance,0154152,1895,0
9714,Italienischer Bauerntanz,0000017,1895,0
9715,Baby&#39;s Dinner,0000029,1895,1
9766,Billy Edwards and the Unknown,0477266,1895,0
9767,Blacksmith Scene,0000022,1895,0
9787,Barque sortant du port,0000016,1895,0
4982,"House of the Devil, The",0000091,1896,0
5406,Une nuit terrible,0000131,1896,0
5445,La fee aux choux,0223341,1896,0
6199,"Arrival of a Train, The",0000012,1896,0
9672,Sandow,1428455,1896,0
9949,Alger: rue Bab-Azoun,1672718,1896,0
9950,Lassage des boeufs pour le labour,1736599,1896,0
9901,Lancement d&#39;un navire,0222137,1896,0
9328,Bataille de neige,0000041,1897,0
4978,Four Heads Are Better Than One,0135696,1898,0
5410,"Astronomer&#39;s Dream; or, The Man in the Moon, The",0000211,1898,0
5411,"Temptation of St. Anthony, The",0224240,1898,0
4994,A Turn of the Century Illusionist,0000246,1899,0
5914,Cinderella,0000230,1899,3
1594,Sherlock Holmes Baffled,0291476,1900,0
4271,"Enchanted Drawing, The",0000300,1900,0
4343,Grandma&#39;s Reading Glass,0000304,1900,0
4344,As Seen Through A Telescope (a.k.a The Professor and His Field Glass),0000272,1900,0
4345,Explosion of a Motor Car (a.k.a The Dlights of Automobiling),0257654,1900,0
4346,Hamlet ( Le Duel d&#39;Hamlet),0000306,1900,0
4993,"One-Man Band, The",0135453,1900,0
5069,Grandma Threading Her Needle,0377995,1900,0
5072,"Searching Ruins on Broadway, Galveston, for Dead Bodies",0230746,1900,0
5438,Let Me Dream Again,0000313,1900,0
5446,"Doctor and the Monkey, The",0227438,1900,0
4995,L&#39;homme a la tete en caoutchouc,0000359,1901,0
5437,Reve et realite,0258104,1901,0
5500,Bluebeard,0131934,1901,0
1252,Le voyage dans la lune,0000417,1902,0
5431,Gulliver&#39;s Travels,0229024,1902,0
5432,"Twentieth Century Tramp; or, Happy Hooligan and His Airship, The",0367177,1902,0
5443,Mephistopheles&#39; School of Magic,0000413,1902,0
1319,"Great Train Robbery, The",0000439,1903,0
5002,"Infernal Boiling Pot, The",0135180,1903,0
5063,"Music Lover, The",0000455,1903,0
5064,"Monster, The",0223755,1903,0
5683,"Enchanted Well, The",0189498,1903,0
5224,"Cook in Trouble, The",0215664,1904,0
5404,"Living Playing Cards, The",0135179,1904,0
5601,"Untamable Whiskers, The",0135631,1904,0
6135,Le voyage a travers l&#39;impossible,0000499,1904,0
5003,"Scheming Gambler&#39;s Paradise, The",0135690,1905,0
5602,"Black Imp, The",0215575,1905,0
1349,"Story of the Kelly Gang, The",0000574,1906,1
5024,"Mysterious Retort, The",0216016,1906,0
5435,Humorous Phases of Funny Faces,0000554,1906,0
5603,"Hilarious Posters, The",0135122,1906,0
5684,"400 Tricks of the Devil, The",0000567,1906,0
6206,A Funny Shave,0449172,1906,0
7215,"Consequence of Feminism, The",1260944,1906,0
5223,"Eclipse: Courtship of the Sun and Moon, The",0215737,1907,0
5615,Good Glue Sticks,0215817,1907,0
6231,Unusual Cooking,1802750,1908,0
4409,"Princess Nicotine; or, The Smoke Fairy",0001009,1909,2
5635,"Devilish Tenant, The",0127948,1909,0
6211,Le barometre de la fidelite,0277596,1909,1
1464,Tilly the Tomboy Visits the Poor,0232821,1910,3
4983,Mobilier fidele,0486978,1910,0
5685,A Trip to Mars,1515725,1910,0
2003,Cleopatra,0002101,1912,2
2005,"Invaders, The",0002281,1912,0
5357,Max and the Donkey,0277865,1912,0
5364,"Voyage of the Bourrichon Family, The",0003512,1913,0
5915,Suspense,0003424,1913,0
4457,A Florida Enchantment,0003973,1914,2
1258,"Birth of a Nation, The",0004972,1915,2
2008,Gretchen the Greenhorn,0006745,1916,3
