...1,id,year,imdbid,rating,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,Documentary,Short,Animation,Sport,Action,Comedy,Romance,NA,Western,Music,History,Horror,Family,Fantasy,Drama,Crime,Adventure,Biography,Mystery,Sci-Fi,War,Thriller,Musical,Film-Noir,Adult,Talk-Show,News,binary
1,9602,1874,3155794,0,tt3155794,short,Passage de Venus,Passage de Venus,0,1874,\N,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
2,9804,1877,14495706,0,tt14495706,short,La Rosace Magique,La Rosace Magique,0,1877,\N,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
3,9603,1878,2221420,0,tt2221420,short,Sallie Gardner at a Gallop,Sallie Gardner at a Gallop,0,1878,\N,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
4,9806,1878,12592084,0,tt12592084,short,Le singe musicien,Le singe musicien,0,1878,\N,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
5,9816,1881,7816420,0,tt7816420,short,Athlete Swinging a Pick,Athlete Swinging a Pick,0,1881,\N,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
6,9831,1883,5459794,0,tt5459794,short,Buffalo Running,Buffalo Running,0,1883,\N,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
7,9832,1885,8588366,0,tt8588366,short,L'homme machine,L'homme machine,0,1885,\N,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
8,9614,1887,2075247,0,tt2075247,short,Man Walking Around the Corner,Man Walking Around the Corner,0,1887,\N,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
9,9836,1887,8133192,0,tt8133192,short,Cockatoo Flying,Cockatoo Flying,0,1887,\N,\N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
10,9837,1887,7411790,0,tt7411790,short,Child Carrying Flowers to Woman,Child Bringing Bouquet to Woman,0,1887,\N,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
11,9838,1887,7541160,0,tt7541160,short,Jumping Over a Man's Back-Leapfrog,Boys Playing Leapfrog: Side View,0,1887,\N,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
12,9841,1887,7754902,0,tt7754902,short,Man Riding Jumping Horse,Man Riding Jumping Horse,0,1887,\N,\N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
13,9902,1887,8361552,0,tt8361552,short,Baboon Climbing a Pole,Baboon Climbing a Pole,0,1887,\N,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
