year,imdb,title,test,clean_test,binary,budget,domgross,intgross,code,budget_2013,domgross_2013,intgross_2013,period_code,decade_code,imdb_id,plot,rated,response,language,country,writer,metascore,imdb_rating,director,released,actors,genre,awards,runtime,type,poster,imdb_votes,error,binary_test,sentiment_score,rough_score
2013,tt2024544,12 Years a Slave,notalk-disagree,notalk,FAIL,20000000,53107035,158607035,2013FAIL,20000000,53107035,158607035,1,1,2024544,"in the antebellum united states, solomon northup, a free black man from upstate new york, is abducted and sold into slavery.",R,TRUE,English,"USA, UK","John Ridley (screenplay), Solomon Northup (based on ""Twelve Years a Slave"" by)",97,8.3,Steve McQueen,08 Nov 2013,"Chiwetel Ejiofor, Dwight Henry, Dickie Gravois, Bryan Batt","Biography, Drama, History",Won 3 Oscars. Another 131 wins & 137 nominations.,134 min,movie,http://ia.media-imdb.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_SX300.jpg,143446,NA,0,-3,1
2013,tt1272878,2 Guns,notalk,notalk,FAIL,61000000,75612460,132493015,2013FAIL,61000000,75612460,132493015,1,1,1272878,"a dea agent and a naval intelligence officer find themselves on the run after a botched attempt to infiltrate a drug cartel. while fleeing, they learn the secret of their shaky alliance: neither knew that the other was an undercover agent.",R,TRUE,"English, Spanish",USA,"Blake Masters (screenplay), Steven Grant (based on the Boom! Studios graphic novels by)",55,6.8,Baltasar Kormákur,02 Aug 2013,"Denzel Washington, Mark Wahlberg, Paula Patton, Edward James Olmos","Action, Comedy, Crime",1 win.,109 min,movie,http://ia.media-imdb.com/images/M/MV5BNTQ5MTgzNDg4OF5BMl5BanBnXkFtZTcwMjAyODEzOQ@@._V1_SX300.jpg,87301,NA,0,-2,-1
2013,tt1335975,47 Ronin,men,men,FAIL,225000000,38362475,145803842,2013FAIL,225000000,38362475,145803842,1,1,1335975,a band of samurai set out to avenge the death and dishonor of their master at the hands of a ruthless shogun.,PG-13,TRUE,"English, Japanese",USA,"Chris Morgan (screenplay), Hossein Amini (screenplay), Chris Morgan (screen story by), Walter Hamada (screen story by)",29,6.6,Carl Rinsch,25 Dec 2013,"Keanu Reeves, Hiroyuki Sanada, Ko Shibasaki, Tadanobu Asano","Action, Adventure, Fantasy",1 nomination.,118 min,movie,http://ia.media-imdb.com/images/M/MV5BMTc0MjE2NzE0OV5BMl5BanBnXkFtZTgwNTU5MjE1MDE@._V1_SX300.jpg,25735,NA,0,-2,-3
2013,tt2194499,About Time,ok-disagree,ok,PASS,12000000,15323921,87324746,2013PASS,12000000,15323921,87324746,1,1,2194499,"at the age of 21, tim discovers he can travel in time and change what happens and has happened in his own life. his decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",R,TRUE,English,UK,Richard Curtis,55,7.8,Richard Curtis,08 Nov 2013,"Domhnall Gleeson, Rachel McAdams, Bill Nighy, Lydia Wilson","Drama, Fantasy, Romance",1 win & 6 nominations.,123 min,movie,http://ia.media-imdb.com/images/M/MV5BMTA1ODUzMDA3NzFeQTJeQWpwZ15BbWU3MDgxMTYxNTk@._V1_SX300.jpg,85871,NA,1,1,1
2013,tt1814621,Admission,ok,ok,PASS,13000000,18007317,18007317,2013PASS,13000000,18007317,18007317,1,1,1814621,a princeton admissions officer who is up for a major promotion takes a professional risk after she meets a college-bound alternative school kid who just might be the son she gave up years ago in a secret adoption.,PG-13,TRUE,English,USA,"Karen Croner (screenplay), Jean Hanff Korelitz (based on the novel by)",48,5.7,Paul Weitz,22 Mar 2013,"Tina Fey, Ann Harada, Ben Levin, Dan Levy","Comedy, Drama, Romance",N/A,107 min,movie,http://ia.media-imdb.com/images/M/MV5BOTE2OTkwNzg5Ml5BMl5BanBnXkFtZTcwOTY0NzQ3OA@@._V1_SX300.jpg,18973,NA,1,-2,-1
2013,tt1815862,After Earth,notalk,notalk,FAIL,130000000,60522097,244373198,2013FAIL,130000000,60522097,244373198,1,1,1815862,"a crash landing leaves kitai raige and his father cypher stranded on earth, a millennium after events forced humanity's escape. with cypher injured, kitai must embark on a perilous journey to signal for help.",PG-13,TRUE,English,USA,"Gary Whitta (screenplay), M. Night Shyamalan (screenplay), Will Smith (story)",33,5,M. Night Shyamalan,31 May 2013,"Jaden Smith, Will Smith, Sophie Okonedo, Zoë Kravitz","Action, Adventure, Sci-Fi",3 wins & 5 nominations.,100 min,movie,http://ia.media-imdb.com/images/M/MV5BMTY3MzQyMjkwMl5BMl5BanBnXkFtZTcwMDk2OTE0OQ@@._V1_SX300.jpg,108264,NA,0,-6,-2
2013,tt1800241,American Hustle,ok-disagree,ok,PASS,40000000,148430908,249484909,2013PASS,40000000,148430908,249484909,1,1,1800241,"a con man, irving rosenfeld, along with his seductive partner sydney prosser, is forced to work for a wild fbi agent, richie dimaso, who pushes them into a world of jersey powerbrokers and mafia.",R,TRUE,"English, Arabic",USA,"Eric Warren Singer, David O. Russell",90,7.5,David O. Russell,20 Dec 2013,"Christian Bale, Bradley Cooper, Amy Adams, Jeremy Renner","Crime, Drama",Nominated for 10 Oscars. Another 49 wins & 77 nominations.,138 min,movie,http://ia.media-imdb.com/images/M/MV5BNjkxMTc0MDc4N15BMl5BanBnXkFtZTgwODUyNTI1MDE@._V1_SX300.jpg,150073,NA,1,-1,-1
2013,tt1322269,August: Osage County,ok,ok,PASS,25000000,37304874,50304874,2013PASS,25000000,37304874,50304874,1,1,1322269,"a look at the lives of the strong-willed women of the weston family, whose paths have diverged until a family crisis brings them back to the oklahoma house they grew up in, and to the dysfunctional woman who raised them.",R,TRUE,English,USA,"Tracy Letts (screenplay), Tracy Letts (play)",58,7.4,John Wells,10 Jan 2014,"Meryl Streep, Julia Roberts, Chris Cooper, Ewan McGregor",Drama,Nominated for 2 Oscars. Another 7 wins & 36 nominations.,121 min,movie,http://ia.media-imdb.com/images/M/MV5BNzQ5ODE4NTcxNV5BMl5BanBnXkFtZTgwNjkyNDQ0MDE@._V1_SX300.jpg,29369,NA,1,-1,0
2013,tt1559547,Beautiful Creatures,ok,ok,PASS,50000000,19452138,55940671,2013PASS,50000000,19452138,55940671,1,1,1559547,"ethan longs to escape his small southern town. he meets a mysterious new girl, lena. together, they uncover dark secrets about their respective families, their history and their town.",PG-13,TRUE,English,USA,"Richard LaGravenese (screenplay), Kami Garcia (based on the novel ""Beautiful Creatures"" by), Margaret Stohl (based on the novel ""Beautiful Creatures"" by)",52,6.2,Richard LaGravenese,14 Feb 2013,"Alden Ehrenreich, Alice Englert, Jeremy Irons, Viola Davis","Drama, Fantasy, Romance",7 nominations.,124 min,movie,http://ia.media-imdb.com/images/M/MV5BMTQyMjYwODMwMl5BMl5BanBnXkFtZTcwODUwNzY5OA@@._V1_SX300.jpg,42988,NA,1,-9,-6
2013,tt2334873,Blue Jasmine,ok-disagree,ok,PASS,18000000,33345833,68447831,2013PASS,18000000,33345833,68447831,1,1,2334873,"a new york socialite, deeply troubled and in denial, arrives in san francisco to impose upon her sister. she looks a million, but isn't bringing money, peace, or love...",PG-13,TRUE,English,USA,Woody Allen,78,7.4,Woody Allen,23 Aug 2013,"Cate Blanchett, Joy Carlin, Richard Conti, Glen Caspillo","Comedy, Drama",Won 1 Oscar. Another 24 wins & 36 nominations.,98 min,movie,http://ia.media-imdb.com/images/M/MV5BMTc0ODk5MzEyMV5BMl5BanBnXkFtZTcwMzI0MDY1OQ@@._V1_SX300.jpg,64127,NA,1,2,-1
